name,artist,videoID,emotion
愛をこめて花束を,Superfly,gU5oN0KVofU,angry
茜さす,Aimer,bN1t3-2X3aM,angry
Pretender,OFFICIAL HIGE DANDISM,TQ8WlA2GXbk,angry
長い間,Kiroro,IiqOCE3_8iI,angry
Soranji,Mrs. GREEN APPLE,44cICMd3jW4,angry
Great Spirits / Yoshimi Tendo - Japanese Version,Yoshimi Tendo,QNTw4v_LBCE,angry
Seaside Flow,03- Performance,CB4o6ejSRgs,angry
情熱大陸,Taro Hakase,53B3ZrhfnOA,angry
my graduation,SPEED,mPauNZw0tqs,angry
かたちあるもの,Ko Shibasaki,kXRoe4QcGNQ,angry
明日への扉,I WiSH,QIBPUU_tuJE,angry
明日への扉,I WiSH,QIBPUU_tuJE,angry
渚,SPITZ,CLZW7ijX7ek,angry
ひまわり,Yusuke,aOKa-5AHCtU,angry
DEPARTURES - RADIO EDIT,globe,qdf2m49edGw,angry
春よ、来い,Yumi Matsutoya,qX7pFYH9O04,angry
本音,sumika,rvhLrfIQi10,angry
奏(かなで),Sukima Switch,J5Z7tIq7bco,angry
天体観測,BUMP OF CHICKEN,j7CDb610Bg0,angry
あいまいでいいよ,Hitsujibungaku,SPW0FZMRO84,angry
ソラニン,ASIAN KUNG-FU GENERATION,XNURRmk8YrQ,angry
Story,AI,HxBvrQePGYY,angry
プラネタリウム,Ai Otsuka,t6xdg6TKbyQ,angry
マリーゴールド,Aimyon,0xSiBpUdW4E,angry
やさしいキスをして,DREAMS COME TRUE,yxvSUaeXm1c,angry
fragile,Every Little Thing,NP60Qqjfdhs,angry
明日がくるなら original duet version,JUJU,H7Qi_-aKJzA,angry
ヒカリヘ,miwa,aRyjZa89g4o,angry
survival dAnce ～no no cry more～ - original single chart mix,TRF,TELoINCHhOw,angry
YELL,Ikimonogakari,lz8frtP6_kk,angry
I Can't Let You Throw Yourself Away - Japanese Version,Diamond Yukai,MGH8fb2ya-Y,angry
会いたいよ,手塚 翔太,6TdJtHfhzgc,angry
Hero,Namie Amuro,iQS38ZugqMg,angry
BAD BOY,BIGBANG,pWRYoQakmhE,angry
逢いたくていま,MISIA,MYo5alIaUOk,angry
Call,CHANMINA,wvVR4DkhFRo,angry
Shadow is the Light,THE SIXTH LIE,qopVUcTCZB8,angry
Time goes by,Every Little Thing,PwhKGjv4Yjc,angry
ありがとう,Ikimonogakari,VZBU8LvZ91Q,angry
君の目も鼻も口も顎も眉も寝ても覚めても超素敵!!!,SHISHAMO,MxPPHBRktz4,angry
点描の唄,Mrs. GREEN APPLE,rWsiVWlvw2E,angry
アスノヨゾラ哨戒班,Yuaru,XogSflwXgpw,angry
夏の日の1993,class,Kj57YmedrlI,angry
Good,CHANMINA,IdTMDpizis8,angry
