name,artist,videoID,emotion
missing summer,GOOD BYE APRIL,S97R2Koyai8,happy
STEADY,SPEED,xm8Hyk3oGS4,happy
Rising Sun,EXILE,aac5heIaz1M,happy
千本桜,WagakkiBand,shs0rAiwsGQ,happy
TOMORROW,Mayo Okamoto,-zU4Mj9dpUI,happy
名もなき詩,Mr.Children,gj5Nu6feFTQ,happy
春の歌,SPITZ,94uxNQqmknk,happy
夜撫でるメノウ,Ayase,ZLBUxmIWTa0,happy
くじら12号,JUDY AND MARY,2juabD8wPhE,happy
Mujyuryoku Fantasia,ikkubaru,BPMZXXFbIZo,happy
アドベンチャー,YOASOBI,Av3xaZkVpJs,happy
シンデレラボーイ,Saucy Dog,IVbY5edMfCA,happy
風を食む,ヨルシカ,GVrRXhS0mLs,happy
丸ノ内サディスティック,Sheena Ringo,4tlUwgtgdZA,happy
That's How You Know - Japanese Version,MC Kids,GUMApNF1rJ0,happy
ゼロのままでいられたら,OFFICIAL HIGE DANDISM,4X_l0bw_oEw,happy
東京エキストラ,I Don't Like Mondays.,b4EHn3M8DT8,happy
ガラガラ GO！！,BIGBANG,fkwPTz67sgI,happy
小さな恋のうた,MONGOL800,JoJ6lnF07U4,happy
さくらんぼ,Ai Otsuka,upODO6OuOOk,happy
名もなき詩,Mr.Children,4gd2oVFUcz0,happy
ワタリドリ,[Alexandros],O_DLtVuiqhI,happy
"OH NO, OH YES!",Tokimeki Records,SZPf872yjGc,happy
ハレンチ,CHANMINA,L3P0LgwuPPo,happy
花火,aiko,NcNzGzAGQ1g,happy
君とdrive,YONA YONA WEEKENDERS,eR7S2w5VlwU,happy
rinse in shampoo,showmore,svtvk1PPuQs,happy
life hack,Vaundy,Tzyt91TYjLA,happy
永遠のブルー,Hitsujibungaku,4MYm1dJGAOc,happy
愛が止まらない ～Turn it into love～ (Remastered 2013),Wink,bfTXOyQ3iMQ,happy
checkmate,milet,FRuKYOzeoRk,happy
ロビンソン,SPITZ,51CH3dPaWXc,happy
もう少しだけ,YOASOBI,K1Tz2yNmamI,happy
マイガール,ARASHI,61CtEnmuh6U,happy
うっせぇわ,Ado,Qp3b-RXtz4w,happy
アカリ,GReeeeN,GOIuU0ejpzc,happy
fake face dance music,音田 雅則,FM0dqJ2OvwQ,happy
Flavor Of Life,Hikaru Utada,tpk0PxK-c5E,happy
365日の紙飛行機,AKB48,JUbU6VLV6yI,happy
Zero Gravity,I Don't Like Mondays.,8U9GCPfJRo8,happy
木蘭の涙,Stardust Revue,PXiDYEhsuS0,happy
銀河鉄道999,Godiego,uTqUiqszKAg,happy
HOT LIMIT,T.M.Revolution,vBmU5v2EyxM,happy
Step by Step,Kenta Dedachi,ay6GjmiJTPM,happy
Magical Gravity,Lucky Kilimanjaro,H7rno2bmyOo,happy
イチブトゼンブ,B'z,eJ-FOKIFGKw,happy
マル・マル・モリ・モリ! - フルサイズ,Kaorutotomoki Tamani Mukku.,pT39qWvQF0c,happy
SISTER,back number,WOHXFNzfehs,happy
きらきら,もさを。,8m5J78O-Hvk,happy
全力少年,Sukima Switch,IvDTkTKi5pA,happy
Love Song,マルシィ,d3Ecv800wZ4,happy
ここで生きてる,MARY,nWwbeG58V6I,happy
marble,showmore,NGw36I7FrMk,happy
Butterfly,Kaela Kimura,-arWQe-m9SE,happy
ミスター,YOASOBI,2-c0DFt6vK4,happy
チェリボム,SILENT SIREN,Sl7B_7h2-OM,happy
Garden,Sugar Soul,vkPfKnUaq5k,happy
One Love,ARASHI,0pWsCiBvLOk,happy
センチメンタルクライシス,halca,XnnO03TjvUA,happy
promise,Kohmi Hirose,-X_YkSlblCI,happy
